id,note,frequency_hz,octave,wavelength_m,period_ms,midi_number,hearing_range_zone,color_hex,chakra,brainwave,special_name,chladni_ref,cymatics_ref
NOTE-G3,G3,196.0,3,1.75,5.102,55,bass,#0F766E,Throat,,,,
NOTE-G#3,G#3,207.65,3,1.6518,4.8158,56,bass,#0F766E,,,,,
NOTE-A3,A3,220.0,3,1.5591,4.5455,57,bass,#0F766E,Third Eye,,,,
NOTE-A#3,A#3,233.08,3,1.4716,4.2904,58,bass,#0F766E,,,,,
NOTE-B3,B3,246.94,3,1.389,4.0496,59,bass,#0F766E,Crown,,,,
NOTE-C4,C4,261.63,4,1.311,3.8222,60,low-mid,#166534,Root,,,,
NOTE-C#4,C#4,277.18,4,1.2375,3.6078,61,low-mid,#166534,,,,,
NOTE-D4,D4,293.66,4,1.168,3.4053,62,low-mid,#166534,Sacral,,,,
NOTE-D#4,D#4,311.13,4,1.1024,3.2141,63,low-mid,#166534,,,,,
NOTE-E4,E4,329.63,4,1.0406,3.0337,64,low-mid,#166534,Solar Plexus,,,,
NOTE-F4,F4,349.23,4,0.9822,2.8634,65,low-mid,#166534,Heart,,,,
NOTE-F#4,F#4,369.99,4,0.9271,2.7028,66,low-mid,#2E8B57,,,,,
NOTE-G4,G4,392.0,4,0.875,2.551,67,low-mid,#2E8B57,Throat,,,,
NOTE-G#4,G#4,415.3,4,0.8259,2.4079,68,low-mid,#2E8B57,,,,,
NOTE-A4,A4,440.0,4,0.7795,2.2727,69,low-mid,#2E8B57,Third Eye,,,,
NOTE-A#4,A#4,466.16,4,0.7358,2.1452,70,low-mid,#2E8B57,,,,,
NOTE-B4,B4,493.88,4,0.6945,2.0248,71,low-mid,#2E8B57,Crown,,,,
NOTE-C5,C5,523.25,5,0.6555,1.9111,72,mid,#65A30D,Root,,,,
NOTE-C#5,C#5,554.37,5,0.6187,1.8038,73,mid,#65A30D,,,,,
NOTE-D5,D5,587.33,5,0.584,1.7026,74,mid,#65A30D,Sacral,,,,
NOTE-D#5,D#5,622.25,5,0.5512,1.6071,75,mid,#65A30D,,,,,
NOTE-E5,E5,659.26,5,0.5203,1.5169,76,mid,#65A30D,Solar Plexus,,,,
NOTE-F5,F5,698.46,5,0.4911,1.4317,77,mid,#65A30D,Heart,,,,
NOTE-F#5,F#5,739.99,5,0.4635,1.3514,78,mid,#A16207,,,,,
NOTE-G5,G5,783.99,5,0.4375,1.2755,79,mid,#A16207,Throat,,,,
NOTE-G#5,G#5,830.61,5,0.4129,1.2039,80,mid,#A16207,,,,,
NOTE-A5,A5,880.0,5,0.3898,1.1364,81,mid,#A16207,Third Eye,,,,
NOTE-A#5,A#5,932.33,5,0.3679,1.0726,82,mid,#A16207,,,,,
NOTE-B5,B5,987.77,5,0.3472,1.0124,83,mid,#A16207,Crown,,,,
NOTE-C6,C6,1046.5,6,0.3278,0.9556,84,mid,#D97706,Root,,,,
NOTE-C#6,C#6,1108.73,6,0.3094,0.9019,85,mid,#D97706,,,,,
NOTE-D6,D6,1174.66,6,0.292,0.8513,86,mid,#D97706,Sacral,,,,
NOTE-D#6,D#6,1244.51,6,0.2756,0.8035,87,mid,#D97706,,,,,
NOTE-E6,E6,1318.51,6,0.2601,0.7584,88,mid,#D97706,Solar Plexus,,,,
NOTE-F6,F6,1396.91,6,0.2455,0.7159,89,mid,#D97706,Heart,,,,
NOTE-F#6,F#6,1479.98,6,0.2318,0.6757,90,mid,#D97706,,,,,
NOTE-G6,G6,1567.98,6,0.2188,0.6378,91,mid,#EA580C,Throat,,,,
NOTE-G#6,G#6,1661.22,6,0.2065,0.602,92,mid,#EA580C,,,,,
NOTE-A6,A6,1760.0,6,0.1949,0.5682,93,mid,#EA580C,Third Eye,,,,
NOTE-A#6,A#6,1864.66,6,0.1839,0.5363,94,mid,#EA580C,,,,,
NOTE-B6,B6,1975.53,6,0.1736,0.5062,95,mid,#EA580C,Crown,,,,
NOTE-C7,C7,2093.0,7,0.1639,0.4778,96,upper-mid,#DC2626,Root,,,,
NOTE-C#7,C#7,2217.46,7,0.1547,0.451,97,upper-mid,#DC2626,,,,,
NOTE-D7,D7,2349.32,7,0.146,0.4257,98,upper-mid,#DC2626,Sacral,,,,
NOTE-D#7,D#7,2489.02,7,0.1378,0.4018,99,upper-mid,#DC2626,,,,,
NOTE-E7,E7,2637.02,7,0.1301,0.3792,100,upper-mid,#DC2626,Solar Plexus,,,,
NOTE-F7,F7,2793.83,7,0.1228,0.3579,101,upper-mid,#DC2626,Heart,,,,
NOTE-F#7,F#7,2959.96,7,0.1159,0.3378,102,upper-mid,#DC2626,,,,,
NOTE-G7,G7,3135.96,7,0.1094,0.3189,103,upper-mid,#C026D3,Throat,,,,
NOTE-G#7,G#7,3322.44,7,0.1032,0.301,104,upper-mid,#C026D3,,,,,
NOTE-A7,A7,3520.0,7,0.0974,0.2841,105,upper-mid,#C026D3,Third Eye,,,,
NOTE-A#7,A#7,3729.31,7,0.092,0.2681,106,upper-mid,#C026D3,,,,,
NOTE-B7,B7,3951.07,7,0.0868,0.2531,107,upper-mid,#C026D3,Crown,,,,
NOTE-C8,C8,4186.01,8,0.0819,0.2389,108,presence,#C026D3,Root,,,,
SPEC-EARTH-HUM,Earth-Hum,0.1,-4,3430.0,10000.0,,infrasound,#040007,,,Earth microseismic hum,,
SPEC-INFRA-8HZ,Infra-8Hz,8.0,-3,42.875,125.0,,infrasound,#0A0019,,delta,Industrial infrasound limit,,
SPEC-SCHUMANN-1,Schumann-1,7.83,-3,43.8059,127.7139,,infrasound,#0A0019,,theta,Schumann resonance fundamental,,
SPEC-SCHUMANN-2,Schumann-2,14.3,-2,23.986,69.9301,,infrasound,#0D001A,,alpha,Schumann 2nd harmonic,,
SPEC-SCHUMANN-3,Schumann-3,20.8,-2,16.4904,48.0769,,sub-bass,#1A0533,,beta,Schumann 3rd harmonic,,
SPEC-SCHUMANN-4,Schumann-4,27.3,-2,12.5641,36.63,,sub-bass,#1A0533,,beta,Schumann 4th harmonic,,
SPEC-SCHUMANN-5,Schumann-5,33.8,-2,10.1479,29.5858,,sub-bass,#2D0B6B,,gamma,Schumann 5th harmonic,,
SPEC-SOL-174,Solfeggio-174,174,4,1.9713,5.7471,,bass,#0F766E,,alpha,Solfeggio 174Hz - Pain reduction,,
SPEC-SOL-285,Solfeggio-285,285,4,1.2035,3.5088,,low-mid,#166534,,alpha,Solfeggio 285Hz - Tissue healing,,
SPEC-SOL-396,Solfeggio-396,396,4,0.8662,2.5253,,low-mid,#2E8B57,Root,alpha,Solfeggio UT - Liberation from fear,,
SPEC-SOL-417,Solfeggio-417,417,4,0.8225,2.3981,,low-mid,#2E8B57,Sacral,alpha,Solfeggio RE - Undoing situations,,
SPEC-432HZ,A4-432Hz,432,4,0.794,2.3148,,low-mid,#2E8B57,Third Eye,alpha,Alternative concert pitch A4=432Hz,,
SPEC-SOL-528,Solfeggio-528,528,5,0.6496,1.8939,,mid,#65A30D,Heart,theta,Solfeggio MI - DNA repair/Love frequency,,
SPEC-SOL-639,Solfeggio-639,639,5,0.5368,1.5649,,mid,#A16207,,theta,Solfeggio FA - Harmonious relationships,,
SPEC-SOL-741,Solfeggio-741,741,5,0.4629,1.3495,,mid,#D97706,Throat,theta,Solfeggio SOL - Awakening intuition,,
SPEC-SOL-852,Solfeggio-852,852,5,0.4026,1.1737,,mid,#EA580C,Third Eye,theta,Solfeggio LA - Return to spiritual order,,
SPEC-SOL-963,Solfeggio-963,963,5,0.3562,1.0384,,mid,#DC2626,Crown,gamma,Solfeggio SI - Pineal gland activation,,
SPEC-A440,Concert-A440,440.0,4,0.7795,2.2727,,low-mid,#2E8B57,Third Eye,,ISO 16 standard concert pitch,,
SPEC-SINGING-432,SingingBowl-432,432,4,0.794,2.3148,,low-mid,#2E8B57,Third Eye,alpha,Tibetan singing bowl A=432Hz,CHLAD-432,CYM-432
SPEC-CHAKRA-ROOT,Chakra-Root,256,4,1.3398,3.9062,,low-mid,#166534,Root,alpha,Root chakra frequency (C256),,
